Evento,Escenario,Bytes/s,Paquetes/s,Temp,Duración,Cluster_k2,Cluster_k3
292,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
293,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
294,Normal,-0.1565734681324074,-0.0862070841576565,0.6405243509329579,0.0,0,2
295,Normal,-0.1568008514099144,-0.0866085745122523,-0.7249048043496344,0.0,0,0
296,Normal,-0.1567629541969965,-0.0866085745122523,-1.4076193819909306,0.0,0,0
297,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
298,Normal,-0.1568008514099144,-0.0866085745122523,-0.7249048043496344,0.0,0,0
299,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
300,Normal,-0.1568035583536942,-0.0866085745122523,-0.383547515529047,0.0,0,0
301,Normal,-0.1568008514099144,-0.0866085745122523,-0.383547515529047,0.0,0,0
302,Normal,-0.1568008514099144,-0.0866085745122523,1.6645962173949629,0.0,0,2
303,Normal,-0.1567629541969965,-0.0866085745122523,-0.383547515529047,0.0,0,0
304,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
305,Normal,-0.1568008514099144,-0.0866085745122523,0.2991670621122492,0.0,0,2
306,Normal,-0.1568008514099144,-0.0866085745122523,0.6405243509329579,0.0,0,2
307,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
308,Normal,-0.1568008514099144,-0.0866085745122523,1.323238928574254,0.0,0,2
309,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
310,Normal,-0.1568035583536942,-0.0866085745122523,-1.7489766708116394,0.0,0,0
311,Normal,-0.1568035583536942,-0.0866085745122523,-0.0421902267083382,0.0,0,0
312,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
313,Normal,-0.1568008514099144,-0.0866085745122523,-0.7249048043496344,0.0,0,0
314,Normal,-0.1568116791850337,-0.0866085745122523,-0.0421902267083382,0.0,0,0
315,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
316,Normal,-0.156806265297474,-0.0866085745122523,-0.0421902267083382,0.0,0,0
317,Normal,-0.1565761750761873,-0.0862070841576565,-1.4076193819909306,0.0,0,0
318,Normal,-0.1568035583536942,-0.0866085745122523,1.6645962173949629,0.0,0,2
319,Normal,-0.1369616604474344,-0.0837981420300817,0.6405243509329579,0.0,0,2
320,Estrés,0.7196479917405615,-0.0340133380602024,0.9818816397535454,0.0,0,2
321,Estrés,2.046602660395429,0.0486936749865325,-1.4076193819909306,0.0,0,0
322,Estrés,2.602914797422601,0.1004859307293908,-1.0662620931703433,0.0,0,0
323,Estrés,2.025818746053784,0.0573257176103422,0.9818816397535454,0.0,0,2
324,Estrés,0.9396440196722996,-0.010526152316348,0.9818816397535454,0.0,0,2
325,Estrés,0.2586121549325743,-0.0550915816764819,0.9818816397535454,0.0,0,2
326,Ataque (nmap),8.117481717115254,10.782136814750672,0.6405243509329579,0.0,1,1
327,Ataque (nmap),11.515570503660928,15.366755173880124,0.2991670621122492,0.0,1,1
328,Normal,-0.1548870421575643,-0.0858055938030607,0.6405243509329579,0.0,0,2
329,Normal,-0.1535281563800824,-0.0846011227392733,-0.7249048043496344,0.0,0,0
330,Normal,-0.1568008514099144,-0.0866085745122523,1.323238928574254,0.0,0,2
331,Normal,-0.1565409848070493,-0.0862070841576565,0.6405243509329579,0.0,0,2
332,Normal,-0.1568008514099144,-0.0866085745122523,-1.4076193819909306,0.0,0,0
333,Normal,-0.1567629541969965,-0.0866085745122523,1.323238928574254,0.0,0,2
334,Normal,-0.1568008514099144,-0.0866085745122523,0.9818816397535454,0.0,0,2
